Professor	Description	Specializations	FOMO filter: Priority
Richard Elmore	Richard Elmore joined the faculty of the Harvard Graduate School of Education in 1990; having previously taught at the College of Education; Michigan State University; and the Graduate School of Public Affairs; University of Washington.	School Culture	high
Sara Lawrence-Lightfoot	Sara Lawrence-Lightfoot; a sociologist; examines the culture of schools; the broad ecology of education; and the relationship between human development and social change.	School Culture	high
Mandy Savitz-Romer	Mandy Savitz-Romer's professional experience has allowed her to link research to practice in the field of school counseling; specifically as it relates to college access and retention for urban students.	School to Work	high
Richard J. Murnane	Richard Murnane; an economist; is the Thompson Research Professor at the Harvard Graduate School of Education and a research associate at the National Bureau of Economic Research. With Greg Duncan; Murnane has examined the respects in which the growth in family income inequality in the U.S.	School to Work	high
Robert B. Schwartz	Robert Schwartz is Professor Emeritus of Practice in Educational Policy and Administration. He held a wide variety of leadership positions in education and government before joining the HGSE faculty in 1996.	School to Work	high
Christopher Dede	Chris Dede's fundamental interest is developing new types of educational systems to meet the opportunities and challenges of the 21st century.	Science Education	low
Eleanor R. Duckworth	A former student and translator of Jean Piaget; Eleanor Duckworth grounds her work in Piaget and Inhelder's insights into the nature and development of understanding and in their research method; which she has developed as a teaching/research approach; Critical Exploration in the Classroom.	Science Education	low
Joseph Blatt	Joe Blatt is interested in the effects of media content and technology on development; learning; and civic behavior. His courses span both formal and informal settings.	Science Education	low
Mandy Savitz-Romer	Mandy Savitz-Romer's professional experience has allowed her to link research to practice in the field of school counseling; specifically as it relates to college access and retention for urban students.	Social Services and Schools	medium
Laura A. Schifter	Laura Schifter is a lecturer on education with the Harvard Graduate School of Education where she teaches courses on federal policy and special education. She is also a Senior Fellow with the Aspen Institute leading the K12 Climate Action initiative and a fellow with the Century Foundation.	Special Education	low
Rhonda Bondie	Rhonda Bondie is the director of professional learning and a lecturer on education in several programs including the Harvard Teacher Fellows (HTF) program. Throughout her career; she has focused on ensuring all learners are valued; engaged; and stretched in inclusive classrooms.	Special Education	low
Thomas Hehir	Tom Hehir served as director of the U.S. Department of Education's Office of Special Education Programs from 1993 to 1999. As director; he was responsible for federal leadership in implementing the Individuals with Disabilities Education Act (IDEA).	Special Education	low
Daniel Koretz	Daniel Koretz is an expert on educational assessment and testing policy. A primary focus of his work has been the impact of high-stakes testing.	Standards	medium
Paul Reville	Paul Reville is the Francis Keppel Professor of Practice of Educational Policy and Administration at the Harvard Graduate School of Education (HGSE). He is the founding director of HGSE's Education Redesign Lab. In 2013; he completed nearly five years of service as the Secretary of Education for the Commonwealth of Massachusetts.	Standards	medium
Richard Elmore	Richard Elmore joined the faculty of the Harvard Graduate School of Education in 1990; having previously taught at the College of Education; Michigan State University; and the Graduate School of Public Affairs; University of Washington.	Standards	medium
Richard J. Murnane	Richard Murnane; an economist; is the Thompson Research Professor at the Harvard Graduate School of Education and a research associate at the National Bureau of Economic Research. With Greg Duncan; Murnane has examined the respects in which the growth in family income inequality in the U.S.	Standards	medium
Robert B. Schwartz	Robert Schwartz is Professor Emeritus of Practice in Educational Policy and Administration. He held a wide variety of leadership positions in education and government before joining the HGSE faculty in 1996.	Standards	medium
Jerome T. Murphy	Jerome Murphy is a specialist in the management and politics of education. His teaching and research focus on administrative practice and organizational leadership; government policy; program implementation and evaluation; and qualitative methodology.	Superintendency	low
Robert Kegan	Robert Kegan is a psychologist who teaches; researches; writes; and consults about adult development; adult learning; and professional development.	Superintendency	low
Robert S. Peterkin	Prior to HGSE; Robert Peterkin held school superintendencies in Cambridge; Massachusetts; and Milwaukee; Wisconsin; and enjoyed a long career in educational leadership; from special education teacher to deputy superintendent; mainly with the Boston Public Schools.	Superintendency	low
Susan Moore Johnson	Susan Moore Johnson studies; teaches; and consults about teacher policy; organizational change; and administrative practice. A former high school teacher and administrator; Johnson has a continuing interest in the work of teachers and the reform of schools.	Superintendency	low
Eleanor R. Duckworth	A former student and translator of Jean Piaget; Eleanor Duckworth grounds her work in Piaget and Inhelder's insights into the nature and development of understanding and in their research method; which she has developed as a teaching/research approach; Critical Exploration in the Classroom.	Teacher Education	low
Houman Harouni	Houman Harouni is a practice-based theorist of culture and education. His work—which combines psychology; philosophy; political economy; and pedagogy—addresses the potential of institutions for maintaining or changing social relations.	Teacher Education	low
Jon R. Star	Jon Star is an educational psychologist who studies children's learning of mathematics in middle and high school; particularly algebra.	Teacher Education	low
Katherine K. Merseth	Katherine Merseth's work concentrated on charter schools; teacher education; mathematics education; and the case-method of instruction.	Teacher Education	low
Rhonda Bondie	Rhonda Bondie is the director of professional learning and a lecturer on education in several programs including the Harvard Teacher Fellows (HTF) program. Throughout her career; she has focused on ensuring all learners are valued; engaged; and stretched in inclusive classrooms.	Teacher Education	low
Christopher Dede	Chris Dede's fundamental interest is developing new types of educational systems to meet the opportunities and challenges of the 21st century.	Teacher Education and Certification	low
Jon R. Star	Jon Star is an educational psychologist who studies children's learning of mathematics in middle and high school; particularly algebra.	Teacher Education and Certification	low
Katherine C. Boles	Katherine Boles was a senior lecturer on education and director of the Learning and Teaching Program at the Harvard Graduate School of Education (HGSE).	Teacher Education and Certification	low
Katherine K. Merseth	Katherine Merseth's work concentrated on charter schools; teacher education; mathematics education; and the case-method of instruction.	Teacher Education and Certification	low
Thomas Kane	Thomas Kane is an economist and Walter H. Gale Professor of Education at the Harvard Graduate School of Education. He is faculty director of the Center for Education Policy Research; a university-wide research center that works with school districts and state agencies.	Teacher Education and Certification	low
Vicki A. Jacobs	Vicki A. Jacobs has served as faculty director of the Teacher Education; Field Experience; and Specialized Studies Programs at HGSE.	Teacher Education and Certification	low
Fernando Reimers	Fernando M. Reimers is the Ford Foundation Professor of the Practice of International Education and Director of the Global Education Innovation Initiative and of the International Education Policy Masters Program at Harvard University.	Teachers and Teachers' Unions	low
Katherine C. Boles	Katherine Boles was a senior lecturer on education and director of the Learning and Teaching Program at the Harvard Graduate School of Education (HGSE).	Teachers and Teachers' Unions	low
Richard J. Murnane	Richard Murnane; an economist; is the Thompson Research Professor at the Harvard Graduate School of Education and a research associate at the National Bureau of Economic Research. With Greg Duncan; Murnane has examined the respects in which the growth in family income inequality in the U.S.	Teachers and Teachers' Unions	low
Susan Moore Johnson	Susan Moore Johnson studies; teaches; and consults about teacher policy; organizational change; and administrative practice. A former high school teacher and administrator; Johnson has a continuing interest in the work of teachers and the reform of schools.	Teachers and Teachers' Unions	low
Barbara Treacy	Barbara Treacy is a nationally recognized leader in online and blended learning who works with states; districts; colleges and universities; and other educational organizations to enable them to build successful online and blended programs for educators and students.	Teaching and Learning	high
David Dockterman	David Dockterman innovates at the intersection of research and practice. In 1982 he helped found Tom Snyder Productions; an early pioneer in educational technology; while getting his doctorate at the Harvard Graduate School of Education.	Teaching and Learning	high
Eleanor R. Duckworth	A former student and translator of Jean Piaget; Eleanor Duckworth grounds her work in Piaget and Inhelder's insights into the nature and development of understanding and in their research method; which she has developed as a teaching/research approach; Critical Exploration in the Classroom.	Teaching and Learning	high
Elizabeth City	Liz City is senior lecturer on education at the Harvard Graduate School of Education. City has served as a teacher; instructional coach; principal; and consultant; in each role focused on helping all children; and the educators who work with them; realize their full potential.	Teaching and Learning	high
Heather C. Hill	Heather C. Hill studies policies and programs designed to improve mathematics teacher and teaching quality.	Teaching and Learning	high
Jon R. Star	Jon Star is an educational psychologist who studies children's learning of mathematics in middle and high school; particularly algebra.	Teaching and Learning	high
Karen Brennan	Karen Brennan is an associate professor at HGSE; where she directs the Creative Computing Lab; and an affiliate in Computer Science.	Teaching and Learning	high
Katherine K. Merseth	Katherine Merseth's work concentrated on charter schools; teacher education; mathematics education; and the case-method of instruction.	Teaching and Learning	high
Kathryn Parker Boudett	Kathryn Parker Boudett is a senior lecturer on education; director of the Data Wise Project; and faculty director of the Master's program in Learning and Teaching.	Teaching and Learning	high
Rhonda Bondie	Rhonda Bondie is the director of professional learning and a lecturer on education in several programs including the Harvard Teacher Fellows (HTF) program. Throughout her career; she has focused on ensuring all learners are valued; engaged; and stretched in inclusive classrooms.	Teaching and Learning	high
Tina Blythe	Tina Blythe is a lecturer on education and a project director at Harvard Project Zero.	Teaching and Learning	high
Alex R Hodges	Alex Hodges; MLS; ABD; is the HGSE librarian and director; Monroe C. Gutman Library. As full-time; non-ladder faculty; he serves as a member of the faculty of education and Lecturer on Education. During academic year 2021-2022; Hodges is the faculty director of HGSE’s specialized studies Ed.M. program for online; part-time students.	Technology and Schools	medium
Barbara Treacy	Barbara Treacy is a nationally recognized leader in online and blended learning who works with states; districts; colleges and universities; and other educational organizations to enable them to build successful online and blended programs for educators and students.	Technology and Schools	medium
Christopher Dede	Chris Dede's fundamental interest is developing new types of educational systems to meet the opportunities and challenges of the 21st century.	Technology and Schools	medium
David Dockterman	David Dockterman innovates at the intersection of research and practice. In 1982 he helped found Tom Snyder Productions; an early pioneer in educational technology; while getting his doctorate at the Harvard Graduate School of Education.	Technology and Schools	medium
Joseph Blatt	Joe Blatt is interested in the effects of media content and technology on development; learning; and civic behavior. His courses span both formal and informal settings.	Technology and Schools	medium
Karen Brennan	Karen Brennan is an associate professor at HGSE; where she directs the Creative Computing Lab; and an affiliate in Computer Science.	Technology and Schools	medium
Daniel Koretz	Daniel Koretz is an expert on educational assessment and testing policy. A primary focus of his work has been the impact of high-stakes testing.	Testing	low
Paul Reville	Paul Reville is the Francis Keppel Professor of Practice of Educational Policy and Administration at the Harvard Graduate School of Education (HGSE). He is the founding director of HGSE's Education Redesign Lab. In 2013; he completed nearly five years of service as the Secretary of Education for the Commonwealth of Massachusetts.	Testing	low
Richard J. Light	Richard Light is the Carl H. Pforzheimer Professor of Teaching and Learning. His Ph.D. is from Harvard in statistics.	Testing	low
Charles V. Willie	Charles Vert Willie is the Charles William Eliot Professor of Education; Emeritus. He is a sociologist whose areas of research include desegregation; higher education; public health; race relations; urban community problems; and family life.	Urban Schooling	low
Elizabeth City	Liz City is senior lecturer on education at the Harvard Graduate School of Education. City has served as a teacher; instructional coach; principal; and consultant; in each role focused on helping all children; and the educators who work with them; realize their full potential.	Urban Schooling	low
Mandy Savitz-Romer	Mandy Savitz-Romer's professional experience has allowed her to link research to practice in the field of school counseling; specifically as it relates to college access and retention for urban students.	Urban Schooling	low
Meira Levinson	Meira Levinson is a normative political philosopher who works at the intersection of civic education; youth empowerment; racial justice; and educational ethics. In doing so; she draws upon scholarship from multiple disciplines as well as her eight years of experience teaching in the Atlanta and Boston Public Schools.	Urban Schooling	low
Paul Reville	Paul Reville is the Francis Keppel Professor of Practice of Educational Policy and Administration at the Harvard Graduate School of Education (HGSE). He is the founding director of HGSE's Education Redesign Lab. In 2013; he completed nearly five years of service as the Secretary of Education for the Commonwealth of Massachusetts.	Urban Schooling	low
Richard Weissbourd	Richard Weissbourd is currently a senior lecturer on education at HGSE and at the Kennedy School of Government. He is also faculty co-director of the Human Development and Psychology master's program.	Urban Schooling	low
Robert S. Peterkin	Prior to HGSE; Robert Peterkin held school superintendencies in Cambridge; Massachusetts; and Milwaukee; Wisconsin; and enjoyed a long career in educational leadership; from special education teacher to deputy superintendent; mainly with the Boston Public Schools.	Urban Schooling	low
Sara Lawrence-Lightfoot	Sara Lawrence-Lightfoot; a sociologist; examines the culture of schools; the broad ecology of education; and the relationship between human development and social change.	Urban Schooling	low
Susan Moore Johnson	Susan Moore Johnson studies; teaches; and consults about teacher policy; organizational change; and administrative practice. A former high school teacher and administrator; Johnson has a continuing interest in the work of teachers and the reform of schools.	Urban Schooling	low
Martha L. Minow	Martha Minow has taught at Harvard Law School since 1981; where her courses include civil procedure; constitutional law; fairness and privacy; family law; international criminal justice; jurisprudence; law and education; nonprofit organizations; and the public law workshop.	Women's Studies	low
Patricia Albjerg Graham	Patricia Albjerg Graham is a leading historian of American education. She began her teaching career in Deep Creek; Virginia; and later taught in Norfolk; Virginia; and New York City. She has also served as a high-school guidance counselor.	Women's Studies	low
Paola Uccelli	Paola Uccelli is a professor at the Harvard Graduate School of Education (HGSE). With a background in linguistics; she studies socio-cultural and individual differences in language and literacy development throughout the school years.	Writing and Literature	low
Vicki A. Jacobs	Vicki A. Jacobs has served as faculty director of the Teacher Education; Field Experience; and Specialized Studies Programs at HGSE.	Writing and Literature	low
